Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
Planning cells on Solingen's leisure facility Baerenloch,Planning Cell,Planning cell,Ad hoc,,,Bürgergutachten: Bärenloch Solingen,How can the waste disposal site Barenloch be moulded into a leisure facility?,"Yes, a scientific committee",Academics,"Design and facilitation,Oversight",https://idpf.uni-wuppertal.de/fileadmin/idpf/bg_b%C3%A4renloch_kleiner.pdf,1979,Germany,Yes,Local Government,"Solingen, North Rhine-Westphalia, Germany",The Institute for Participation and Democracy Research of the University of Wuppertal,https://idpf.uni-wuppertal.de/,Academics,Urban planning,,8,150,Random selection (stages unclear),Selected at random from the population register.,Post,Head of public institution,,,,,Academics,The methodological design of the planning cells. ,,,Regional media. ,No,,,,,"Introductory reading material before 1st meeting,Participants can request information",,,"A written report with policy recommendations (e.g.: long-term planing, no amateur sport at place, parking spots) was handed over to political authorities in 1979. The project has not been realised. ",,checked,Public response to recommendations,,,,checked,,,,,,,,Face-to-face,,51.1592976,7.0745863,,,
Citizens' Panel on Organ Transplants in Minnesota,Citizens' Jury,Citizens' Panel,Ad hoc,,,Citizens' Panel on Organ Transplants in Minnesota,To review some of the bio-ethical dilemmas regarding organ transplants,"Yes, the Advisory Committee","Academics,Expert practitioners,Government representatives",Providing expert knowledge,,1986,USA,Yes,Regional/State,Minnesota,Center for New Democratic Processes (now- Jefferson Center),https://jefferson-center.org/about-us/,Non-Governmental Organisation,Health,,1,24,Two-stage random selection (e.g. civic lottery),"A group of individuals selected at random in such a way that they represent the public at large in terms of sex, education and age. This pool is about 8 times larger than the number of desired participants. 500 random numbers from the phone book were called. From those willing to participate names and addresses collected. From those a panel is put together, balanced on attitude relevant to the question at hand (but not balanced on sex, age and education). This balance is achieved by first polling the community to identify their attitudes.",Phone,,5.00%,,,Remunerated,"Academics,Government Officials,Civil Society Organisations",Act as witnesses to provide information and perspectives to the panel,,,,No,,5,1,checked,"Introductory reading material before 1st meeting,Learning sessions,Experts available at meetings for presentations and/or questions",,,"Panelists recommended the increase of funds on individual-oriented programs of organ transplantation and to adopt a ""a required request"" method to increase the number of organ donors.",12 USA,,,,,,,,,,,,,Budget of the advisory committee of health care professionals in Minnesota,Face-to-face,,45.9896587,-94.6113288,,,checked
We Want More,Planning Cell,Planning Cell,Ad hoc,,,We Want More,The goal of this Planning Cell was the creation of a task and action catalog for the municipal equality bodies,,,,http://pzdb.jazzpis.space/cells/60,1986,Germany,Yes,Local Government, Leverkusen,,,,Institutional set-up,,1,19,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,3,,,,,,,not available,,,,,,,,,,,,,Budget of the Federal Agency for Civic Education,Face-to-face,,51.0324743,6.9881194,,,checked
Solingen 2010,Planning Cell,Planning Cell,Ad hoc,,,Solingen 2010,To contribute to city planning,,,,http://pzdb.jazzpis.space/cells/59,1987,Germany,Yes,Local Government,Solingen,The Institute for Participation and Democracy Research  of the University of Wuppertal ,http://www.idpf.eu/,Academia,Urban planning,,1,25,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of the City of Solingen,Face-to-face,,51.1712468,7.0838996,,,checked
Policy Jury on School-based clinics,Citizens' Jury,Citizens' Jury,Ad hoc,,,Policy Jury on School-based clinics,"Eight 12-person juries were held around the state of Minnesota, one in each congressional district. The jurors were asked to evaluate the usefulness of school-based clinics to help prevent teen pregnancy, AIDS and other STDs. A statewide jury of 24 jurors made the final recommendations.","Yes, the Steering Committee (composed of senators)",Government representatives,Oversight,,1988,USA,Yes,Regional/State,Minnesota,Jefferson Center,https://jefferson-center.org/about-us/,Non-Governmental Organisation,Health,,9,96,Two-stage random selection (e.g. civic lottery),"A survey set up and conducted in all eight districts. 100 people randomly surveyed in each one. During this a quota sampling method was used, so that the jury pool matched the demographics of the district. Each 100 pool was divided into three attitudinal categories. Out of 800, 445 expressed a will to participate in a jury. Participants for each district randomly selected from the pools stratified based on attitudes towards proposed policy. Statewide jurors were voted by their peers.",Phone,,5.00%,,,Remunerated,"Citizens,Civil Society Organisations",Act as witnesses to provide information and perspectives to the panel,,,Numerous articles in state newspapers,No,,4,0,,Experts available at meetings for presentations and/or questions,,,"In the final vote by the 96 jurors, 43% of them voted for the position which supported clinics, 7% voted for the position opposed, 50% voted for the position which favored alternatives. ",13 USA,,,,,,checked,Participant exit survey,Available within the report,Difficulties were faced to maintain close relationship between the organizing staff and the steering committee of Senators,"It was interesting that in regional juries the votes were diverse - one jury voted in opposition to clinics, three voted for alternatives, and four voted in favor of clinics. Then a statewide jury was set up to produce a final opinion. The idea that school-based clinics should be used as major part of any new set of programs to prevent teen pregnancy etc. There was an initial 12-12 split on this question, after further discussion ended in 13-11.",,,"Commissioned by The Health and Human Services Committee of the Minnesota Senate, funded by Blandin Foundation",Face-to-face,,45.98562811,-94.61535939,,,checked
Technical possibilities of ISDN,Planning Cell,Planning Cell,Ad hoc,,,Technical possibilities of ISDN,"To assess the technical possibilities of ISDN, assess its usefulness for everyday life and how the protection of communication data of the citizen should be ensured",,,,http://pzdb.jazzpis.space/cells/58,1990,Germany,Yes,National/Federal,Germany,The Institute for Participation and Democracy Research  of the University of Wuppertal ,http://www.idpf.eu/,Academia,Technology,,20,519,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,not available,,,,,,,,,,,,,Budget of Federal Ministry of Post and Telecommunications,Face-to-face,,51.0834196,10.4234469,,,checked
Consensus conference on technological animals,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference on technological animals,"The objective of the consensus conference was to assess the status of the technological animal development by taking up questions related to ethical, health, economical and environmental areas. ","Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",https://web.archive.org/web/20081123230502/http://www.tekno.dk/subpage.php3?article=497&language=uk&category=11&toppic=kategori11,1992,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Technology,,1,14,Random selection (stages unclear),,,,,,12-14 weeks,Non-remunerated,,,,,,,,3,0,,,,,,https://web.archive.org/web/20081123230502/http://www.tekno.dk/subpage.php3?article=497&language=uk&category=11&toppic=kategori11,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.670249,10.3333283,,,checked
Guipúzcoa citizens' jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Guipúzcoa citizens' jury,To produce recommendations with regards to a new highway,,,,,1993,Spain,Yes,Regional/State,Guipúzcoa,,,"Private sector,Academia",Infrastructure,,14,303,Single stage random selection (e.g. polling company recruitment),,,,4.00%,,,Remunerated,,Presentations to the jury,,,,No,,3,,,,,,,not available,,,,,,,,,,,50000,EUR,,Face-to-face,,43.1445278,-2.203795549,,,checked
Consensus Conference on Infertility,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus Conference on Infertility,To obtain citizens input and opinions on infertility issues,"Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/consensus-conference-on-infertility/?lang=en,1993,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Health,,1,13,Random selection (stages unclear),,,,,7,12-14 weeks,Non-remunerated,,,,,,No,,4,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",,,The panel produced opinions on 8 key questions on the topic,6 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67246427,10.33554357,,,checked
Consensus conference: A Light-green Agricultural Sector,Consensus Conference,Consensus Conference,Ad hoc,,,Consensus conference: A Light-green Agricultural Sector,"The agricultural sector is under increasing popular and political pressure to make agricultural
production more sustainable to animals and the environment. The question is whether
Integrated Production is an appropriate tool for fulfilling this objective. Citizens and experts gathered to discuss different possible models of integrated production.","Yes, a dedicated committee","Academics,NGO's","Providing expert knowledge,Ensuring balanced information,Design and facilitation,Oversight",http://www.tekno.dk/project/a-light-green-agricultural-sector/?lang=en,1994,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology,http://www.tekno.dk/?lang=en,Government,Other,,1,10,Random selection (stages unclear),,,,,5,12-14 weeks,Non-remunerated,,,,,,,,3,0,,,,,The panel was more in favor of the integrated production and came up with many remarks and feedback on the subject.,7 Denmark,,Specific response to participants about recommendations,,,,checked,Participant exit survey,,,,,,Budget of The Danish Board of Technology,Face-to-face,,55.67035065,10.33342995,,,checked
